Date,ModelYear,Month,Day,Rainfall_mm,EnsembleMember
1980-12-01,1980,12,1,10.091782,01
1980-12-02,1980,12,2,0.29628596,01
1980-12-03,1980,12,3,2.5470781,01
1980-12-04,1980,12,4,2.4074478,01
1980-12-05,1980,12,5,6.3596926,01
1980-12-06,1980,12,6,1.7103503,01
1980-12-07,1980,12,7,2.3354867,01
1980-12-08,1980,12,8,6.7777557,01
1980-12-09,1980,12,9,7.249852,01
1980-12-10,1980,12,10,3.1182835,01
1980-12-11,1980,12,11,23.349628,01
1980-12-12,1980,12,12,5.262063,01
1980-12-13,1980,12,13,2.7620978,01
1980-12-14,1980,12,14,11.793147,01
1980-12-15,1980,12,15,2.5242188,01
1980-12-16,1980,12,16,7.790305,01
1980-12-17,1980,12,17,1.1765636e-05,01
1980-12-18,1980,12,18,20.753788,01
1980-12-19,1980,12,19,12.138495,01
1980-12-20,1980,12,20,29.319786,01
1980-12-21,1980,12,21,3.0179214,01
1980-12-22,1980,12,22,4.885659e-05,01
1980-12-23,1980,12,23,0.0005508384,01
1980-12-24,1980,12,24,4.4673565e-05,01
1980-12-25,1980,12,25,4.6536665e-05,01
1980-12-26,1980,12,26,6.4833493,01
1980-12-27,1980,12,27,20.926823,01
1980-12-28,1980,12,28,1.985472,01
1980-12-29,1980,12,29,2.2575881,01
1980-12-30,1980,12,30,14.081996,01
1981-01-01,1981,1,1,0.7641735,01
1981-01-02,1981,1,2,0.018868856,01
1981-01-03,1981,1,3,1.5287774,01
1981-01-04,1981,1,4,0.7702056,01
1981-01-05,1981,1,5,4.2072453,01
1981-01-06,1981,1,6,0.030994931,01
1981-01-07,1981,1,7,3.597994e-05,01
1981-01-08,1981,1,8,0.84831303,01
1981-01-09,1981,1,9,6.806191e-05,01
1981-01-10,1981,1,10,6.2024446,01
1981-01-11,1981,1,11,3.172927,01
1981-01-12,1981,1,12,15.768878,01
1981-01-13,1981,1,13,20.29009,01
1981-01-14,1981,1,14,0.033367004,01
1981-01-15,1981,1,15,0.000115585026,01
1981-01-16,1981,1,16,2.9524663e-05,01
1981-01-17,1981,1,17,17.00788,01
1981-01-18,1981,1,18,9.100902,01
1981-01-19,1981,1,19,4.327874,01
1981-01-20,1981,1,20,6.0003037,01
1981-01-21,1981,1,21,3.5869815,01
1981-01-22,1981,1,22,9.780793,01
1981-01-23,1981,1,23,0.9396577,01
1981-01-24,1981,1,24,14.043382,01
1981-01-25,1981,1,25,27.46261,01
1981-01-26,1981,1,26,25.463041,01
1981-01-27,1981,1,27,2.4998913,01
1981-01-28,1981,1,28,4.6173677,01
1981-01-29,1981,1,29,26.0783,01
1981-01-30,1981,1,30,12.401153,01
1981-02-01,1981,2,1,20.002468,01
1981-02-02,1981,2,2,8.595715,01
1981-02-03,1981,2,3,0.00061901496,01
1981-02-04,1981,2,4,9.585108,01
1981-02-05,1981,2,5,3.134863,01
1981-02-06,1981,2,6,12.8385,01
1981-02-07,1981,2,7,1.8980153,01
1981-02-08,1981,2,8,0.5380815,01
1981-02-09,1981,2,9,0.549423,01
1981-02-10,1981,2,10,0.90205747,01
1981-02-11,1981,2,11,0.028316656,01
1981-02-12,1981,2,12,3.2035925,01
1981-02-13,1981,2,13,0.028024107,01
1981-02-14,1981,2,14,0.040734872,01
1981-02-15,1981,2,15,0.2627659,01
1981-02-16,1981,2,16,0.43823218,01
1981-02-17,1981,2,17,0.7788653,01
1981-02-18,1981,2,18,9.713217e-06,01
1981-02-19,1981,2,19,1.3745955e-05,01
1981-02-20,1981,2,20,0.038950406,01
1981-02-21,1981,2,21,0.17136183,01
1981-02-22,1981,2,22,0.0078062024,01
1981-02-23,1981,2,23,0.0260489,01
1981-02-24,1981,2,24,2.424584e-05,01
1981-02-25,1981,2,25,11.551553,01
1981-02-26,1981,2,26,5.993543,01
1981-02-27,1981,2,27,3.6022875,01
1981-02-28,1981,2,28,2.705328,01
1981-02-29,1981,2,29,5.2235417,01
1981-02-30,1981,2,30,4.055983,01
1981-03-01,1981,3,1,0.4865378,01
1981-03-02,1981,3,2,1.1790051e-05,01
1981-03-03,1981,3,3,1.4323573,01
1981-03-04,1981,3,4,5.661133,01
1981-03-05,1981,3,5,2.4422882,01
1981-03-06,1981,3,6,0.0,01
1981-03-07,1981,3,7,0.038440604,01
1981-03-08,1981,3,8,0.015059208,01
1981-03-09,1981,3,9,0.19944182,01
1981-03-10,1981,3,10,6.14418e-07,01
1981-03-11,1981,3,11,1.3020339e-06,01
1981-03-12,1981,3,12,2.4191246e-05,01
1981-03-13,1981,3,13,0.62511945,01
1981-03-14,1981,3,14,3.651599e-05,01
1981-03-15,1981,3,15,3.4410597e-05,01
1981-03-16,1981,3,16,0.038427893,01
1981-03-17,1981,3,17,5.434193,01
1981-03-18,1981,3,18,1.3683333,01
1981-03-19,1981,3,19,13.191281,01
1981-03-20,1981,3,20,0.0370641,01
1981-03-21,1981,3,21,2.1285112,01
1981-03-22,1981,3,22,3.5095482,01
1981-03-23,1981,3,23,18.726498,01
1981-03-24,1981,3,24,6.2945557,01
1981-03-25,1981,3,25,0.6356453,01
1981-03-26,1981,3,26,15.564326,01
1981-03-27,1981,3,27,3.298162,01
1981-03-28,1981,3,28,2.1506069,01
1981-03-29,1981,3,29,0.97630453,01
1981-03-30,1981,3,30,3.0769424e-05,01
1981-04-01,1981,4,1,4.619867e-06,01
1981-04-02,1981,4,2,0.0002957473,01
1981-04-03,1981,4,3,16.954348,01
1981-04-04,1981,4,4,28.157682,01
1981-04-05,1981,4,5,0.8457996,01
1981-04-06,1981,4,6,4.2232647,01
1981-04-07,1981,4,7,0.07005215,01
1981-04-08,1981,4,8,6.0811276,01
1981-04-09,1981,4,9,5.417315,01
1981-04-10,1981,4,10,0.7490639,01
1981-04-11,1981,4,11,7.4511466,01
1981-04-12,1981,4,12,9.306174,01
1981-04-13,1981,4,13,9.798392,01
1981-04-14,1981,4,14,7.932032,01
1981-04-15,1981,4,15,4.3091006,01
1981-04-16,1981,4,16,14.774999,01
1981-04-17,1981,4,17,1.175806,01
1981-04-18,1981,4,18,4.4335747,01
1981-04-19,1981,4,19,4.50321,01
1981-04-20,1981,4,20,0.00058808934,01
1981-04-21,1981,4,21,2.3000703,01
1981-04-22,1981,4,22,0.00038982078,01
1981-04-23,1981,4,23,0.0067508854,01
1981-04-24,1981,4,24,15.383533,01
1981-04-25,1981,4,25,0.53154135,01
1981-04-26,1981,4,26,0.009539444,01
1981-04-27,1981,4,27,1.3715148,01
1981-04-28,1981,4,28,0.00036314788,01
1981-04-29,1981,4,29,7.1861844,01
1981-04-30,1981,4,30,1.4714515,01
1981-05-01,1981,5,1,1.9451342,01
1981-05-02,1981,5,2,0.0002587661,01
1981-05-03,1981,5,3,0.10298418,01
