AnalysisYear,EnsembleMember,DaysInYear,AnnualRainfall_mm,AnnualRainfall365_mm,DryDays,DryDays365,LightRainDays,LightRainDays365,ModerateRainDays,ModerateRainDays365,HeavyRainDays,HeavyRainDays365,VeryHeavyRainDays,VeryHeavyRainDays365,LongestDrySpell
1981,01,360,1589.0074685408297,1611.0770167150079,133,134.84722222222223,77,78.06944444444444,99,100.375,51,51.70833333333333,19,19.26388888888889,14
1982,01,360,1544.446103756671,1565.8967440866247,134,135.86111111111111,63,63.875,105,106.45833333333333,58,58.80555555555555,12,12.166666666666666,18
1983,01,360,1338.7481294564636,1357.3418534766922,162,164.25,70,70.97222222222221,76,77.05555555555556,52,52.72222222222222,13,13.180555555555555,17
1984,01,360,1501.7116518069806,1522.5687580820775,153,155.125,76,77.05555555555556,74,75.02777777777777,57,57.791666666666664,14,14.194444444444443,17
1985,01,360,1224.669857218093,1241.6791607905666,164,166.27777777777777,60,60.83333333333333,97,98.34722222222221,39,39.541666666666664,10,10.13888888888889,22
1986,01,360,1418.5961646314745,1438.298889140245,139,140.93055555555554,80,81.11111111111111,97,98.34722222222221,44,44.61111111111111,12,12.166666666666666,16
1987,01,360,1419.9010880499209,1439.6219364950587,164,166.27777777777777,57,57.791666666666664,94,95.30555555555556,45,45.625,17,17.23611111111111,18
1988,01,360,1213.5708773889733,1230.42602846382,131,132.81944444444443,90,91.25,106,107.47222222222221,33,33.45833333333333,10,10.13888888888889,16
1989,01,360,1172.487730203471,1188.7722820118527,151,153.09722222222223,81,82.125,94,95.30555555555556,34,34.47222222222222,10,10.13888888888889,15
1990,01,360,1292.994460825767,1310.9527172261248,164,166.27777777777777,59,59.81944444444444,91,92.26388888888889,46,46.638888888888886,14,14.194444444444443,23
1991,01,360,1260.0048119643416,1277.5048787971796,138,139.91666666666666,91,92.26388888888889,86,87.19444444444444,45,45.625,6,6.083333333333333,9
1992,01,360,1716.4850338201572,1740.325103734326,122,123.69444444444444,83,84.15277777777777,95,96.31944444444444,60,60.83333333333333,21,21.291666666666664,25
1993,01,360,1269.184136904349,1286.8116943613538,143,144.98611111111111,80,81.11111111111111,93,94.29166666666666,44,44.61111111111111,6,6.083333333333333,17
1994,01,360,1242.6237366987937,1259.8823997084992,156,158.16666666666666,78,79.08333333333333,85,86.18055555555556,41,41.56944444444444,16,16.22222222222222,12
1995,01,360,1398.4138831903213,1417.8362982346312,163,165.26388888888889,62,62.86111111111111,93,94.29166666666666,42,42.58333333333333,15,15.208333333333332,21
1996,01,360,1354.7399670699933,1373.5557999459654,143,144.98611111111111,76,77.05555555555556,92,93.27777777777777,49,49.68055555555555,10,10.13888888888889,13
1997,01,360,1372.2469028790638,1391.3058876412729,137,138.90277777777777,81,82.125,102,103.41666666666666,40,40.55555555555556,13,13.180555555555555,13
1998,01,360,1457.7091295558912,1477.955089688612,166,168.30555555555554,54,54.75,92,93.27777777777777,48,48.666666666666664,16,16.22222222222222,31
1999,01,360,1375.6168309677532,1394.7226202867498,134,135.86111111111111,79,80.09722222222221,100,101.38888888888889,47,47.65277777777778,12,12.166666666666666,13
2000,01,360,1556.9460856496028,1578.5703368391805,159,161.20833333333331,51,51.70833333333333,88,89.22222222222221,62,62.86111111111111,15,15.208333333333332,38
2001,01,360,1516.4061857141578,1537.4673827379654,143,144.98611111111111,67,67.93055555555556,105,106.45833333333333,45,45.625,19,19.26388888888889,20
2002,01,360,1109.6080808229956,1125.0193041677594,182,184.52777777777777,71,71.98611111111111,69,69.95833333333333,38,38.52777777777778,11,11.152777777777777,12
2003,01,360,1275.0767597284441,1292.786159169117,158,160.19444444444443,81,82.125,81,82.125,40,40.55555555555556,15,15.208333333333332,17
2004,01,360,1178.5945713453839,1194.9639403918475,157,159.18055555555554,91,92.26388888888889,68,68.94444444444444,44,44.61111111111111,11,11.152777777777777,12
2005,01,360,1385.3222188443506,1404.5628052171887,148,150.05555555555554,85,86.18055555555556,82,83.13888888888889,45,45.625,11,11.152777777777777,10
2006,01,360,1490.7786049610863,1511.4838633633235,127,128.76388888888889,83,84.15277777777777,104,105.44444444444444,46,46.638888888888886,16,16.22222222222222,9
2007,01,360,1056.0083161092784,1070.675098277463,215,217.98611111111111,52,52.72222222222222,52,52.72222222222222,41,41.56944444444444,10,10.13888888888889,19
2008,01,360,2117.110675917433,2146.514990860731,108,109.5,72,73.0,105,106.45833333333333,75,76.04166666666666,26,26.36111111111111,12
2009,01,360,1446.9401140264551,1467.0365044990447,138,139.91666666666666,78,79.08333333333333,101,102.40277777777777,43,43.59722222222222,13,13.180555555555555,19
2010,01,360,1417.0380771548676,1436.7191615597962,155,157.15277777777777,74,75.02777777777777,77,78.06944444444444,54,54.75,14,14.194444444444443,20
1981,04,360,1330.528275041465,1349.0078344170408,127,128.76388888888889,84,85.16666666666666,105,106.45833333333333,44,44.61111111111111,11,11.152777777777777,13
1982,04,360,1406.027074499305,1425.5552283117952,142,143.97222222222223,71,71.98611111111111,94,95.30555555555556,53,53.73611111111111,10,10.13888888888889,14
1983,04,360,1935.6859245316518,1962.570451261258,90,91.25,68,68.94444444444444,135,136.875,67,67.93055555555556,22,22.305555555555554,10
1984,04,360,1207.2440151345818,1224.011293122562,136,137.88888888888889,90,91.25,93,94.29166666666666,41,41.56944444444444,8,8.11111111111111,11
1985,04,360,1829.8047788772597,1855.2187341394438,113,114.56944444444444,69,69.95833333333333,119,120.65277777777777,59,59.81944444444444,17,17.23611111111111,16
1986,04,360,1357.3139610447997,1376.1655438370885,142,143.97222222222223,84,85.16666666666666,96,97.33333333333333,38,38.52777777777778,17,17.23611111111111,12
1987,04,360,1471.5353487320774,1491.9733396866895,139,140.93055555555554,68,68.94444444444444,108,109.5,45,45.625,12,12.166666666666666,11
