Date,ModelYear,Month,Day,Rainfall_mm,EnsembleMember
2030-12-01,2030,12,1,1.9556182e-05,01
2030-12-02,2030,12,2,0.41184586,01
2030-12-03,2030,12,3,12.588323,01
2030-12-04,2030,12,4,4.0871615,01
2030-12-05,2030,12,5,1.0057153,01
2030-12-06,2030,12,6,0.01056708,01
2030-12-07,2030,12,7,0.944749,01
2030-12-08,2030,12,8,7.7178265e-05,01
2030-12-09,2030,12,9,0.0001721768,01
2030-12-10,2030,12,10,2.305699,01
2030-12-11,2030,12,11,10.30095,01
2030-12-12,2030,12,12,24.527693,01
2030-12-13,2030,12,13,1.8033938,01
2030-12-14,2030,12,14,2.5839223e-05,01
2030-12-15,2030,12,15,12.584248,01
2030-12-16,2030,12,16,4.729791,01
2030-12-17,2030,12,17,8.258927,01
2030-12-18,2030,12,18,18.709059,01
2030-12-19,2030,12,19,18.140385,01
2030-12-20,2030,12,20,9.621884,01
2030-12-21,2030,12,21,8.896704,01
2030-12-22,2030,12,22,8.412263,01
2030-12-23,2030,12,23,0.006974932,01
2030-12-24,2030,12,24,1.0383451,01
2030-12-25,2030,12,25,0.0061296006,01
2030-12-26,2030,12,26,0.019388745,01
2030-12-27,2030,12,27,1.2476612e-05,01
2030-12-28,2030,12,28,0.00060590875,01
2030-12-29,2030,12,29,1.1006603,01
2030-12-30,2030,12,30,10.413921,01
2031-01-01,2031,1,1,3.2059405,01
2031-01-02,2031,1,2,5.951906,01
2031-01-03,2031,1,3,3.927854,01
2031-01-04,2031,1,4,15.794656,01
2031-01-05,2031,1,5,33.742702,01
2031-01-06,2031,1,6,8.6869775e-05,01
2031-01-07,2031,1,7,1.8695511,01
2031-01-08,2031,1,8,6.8156123,01
2031-01-09,2031,1,9,0.057326347,01
2031-01-10,2031,1,10,0.8529645,01
2031-01-11,2031,1,11,1.4063754,01
2031-01-12,2031,1,12,3.9348805,01
2031-01-13,2031,1,13,0.44921178,01
2031-01-14,2031,1,14,2.6818678,01
2031-01-15,2031,1,15,1.4456654,01
2031-01-16,2031,1,16,1.978185,01
2031-01-17,2031,1,17,0.52740246,01
2031-01-18,2031,1,18,13.958558,01
2031-01-19,2031,1,19,4.996927,01
2031-01-20,2031,1,20,0.001121922,01
2031-01-21,2031,1,21,0.87907463,01
2031-01-22,2031,1,22,1.6873358e-06,01
2031-01-23,2031,1,23,0.00011905382,01
2031-01-24,2031,1,24,7.0178476e-07,01
2031-01-25,2031,1,25,8.419649e-06,01
2031-01-26,2031,1,26,0.029406989,01
2031-01-27,2031,1,27,0.101030916,01
2031-01-28,2031,1,28,2.6397807e-05,01
2031-01-29,2031,1,29,0.59098625,01
2031-01-30,2031,1,30,2.063965,01
