AnalysisYear,EnsembleMember,DaysInYear,AnnualRainfall_mm,AnnualRainfall365_mm,DryDays,DryDays365,LightRainDays,LightRainDays365,ModerateRainDays,ModerateRainDays365,HeavyRainDays,HeavyRainDays365,VeryHeavyRainDays,VeryHeavyRainDays365,LongestDrySpell
2031,01,360,1482.401162519186,1502.9900675541746,138,139.91666666666666,81,82.125,90,91.25,51,51.70833333333333,13,13.180555555555555,9
2032,01,360,1634.4433628709546,1657.143965133051,166,168.30555555555554,61,61.84722222222222,72,73.0,61,61.84722222222222,23,23.319444444444443,26
2033,01,360,1619.0161252951941,1641.5024603687384,135,136.875,80,81.11111111111111,93,94.29166666666666,52,52.72222222222222,19,19.26388888888889,15
2034,01,360,1423.5690304390869,1443.3408225285186,148,150.05555555555554,74,75.02777777777777,86,87.19444444444444,52,52.72222222222222,15,15.208333333333332,14
2035,01,360,1500.6966510695934,1521.5396601122266,128,129.77777777777777,87,88.20833333333333,98,99.3611111111111,47,47.65277777777778,16,16.22222222222222,15
2036,01,360,1511.168092895402,1532.1565386300604,157,159.18055555555554,64,64.88888888888889,85,86.18055555555556,54,54.75,15,15.208333333333332,23
2037,01,360,1395.0284162601024,1414.4038109303815,153,155.125,74,75.02777777777777,80,81.11111111111111,53,53.73611111111111,16,16.22222222222222,28
2038,01,360,1524.3229860991157,1545.4941386838257,157,159.18055555555554,69,69.95833333333333,77,78.06944444444444,57,57.791666666666664,21,21.291666666666664,11
2039,01,360,1286.90462616657,1304.7783015299947,196,198.7222222222222,52,52.72222222222222,65,65.90277777777777,47,47.65277777777778,12,12.166666666666666,19
2040,01,360,1572.315256322352,1594.152968215718,136,137.88888888888889,86,87.19444444444444,83,84.15277777777777,55,55.763888888888886,19,19.26388888888889,8
2041,01,360,1486.304823629467,1506.947946179876,168,170.33333333333331,70,70.97222222222221,65,65.90277777777777,57,57.791666666666664,18,18.25,14
2042,01,360,1499.3279253056567,1520.1519242682352,152,154.11111111111111,78,79.08333333333333,77,78.06944444444444,53,53.73611111111111,14,14.194444444444443,13
2043,01,360,1360.8521829636911,1379.7529077270756,154,156.13888888888889,69,69.95833333333333,90,91.25,47,47.65277777777778,12,12.166666666666666,22
2044,01,360,1385.8263792497673,1405.0739678504585,152,154.11111111111111,70,70.97222222222221,96,97.33333333333333,42,42.58333333333333,15,15.208333333333332,28
2045,01,360,1198.7360557058228,1215.3851675906258,170,172.36111111111111,78,79.08333333333333,71,71.98611111111111,41,41.56944444444444,15,15.208333333333332,12
2046,01,360,1277.319670941197,1295.0602219264913,142,143.97222222222223,91,92.26388888888889,86,87.19444444444444,41,41.56944444444444,17,17.23611111111111,9
2047,01,360,1399.9371210963611,1419.3806922226995,168,170.33333333333331,70,70.97222222222221,70,70.97222222222221,52,52.72222222222222,16,16.22222222222222,13
2048,01,360,1504.219260241335,1525.1111944113534,174,176.41666666666666,65,65.90277777777777,70,70.97222222222221,51,51.70833333333333,20,20.27777777777778,40
2049,01,360,1593.258692495256,1615.3872854465787,177,179.45833333333331,56,56.77777777777777,73,74.01388888888889,54,54.75,20,20.27777777777778,14
2050,01,360,1906.7243804691498,1933.2066635312212,135,136.875,50,50.69444444444444,111,112.54166666666666,64,64.88888888888889,22,22.305555555555554,12
2051,01,360,1563.4528123017426,1585.1674346948223,157,159.18055555555554,72,73.0,78,79.08333333333333,53,53.73611111111111,19,19.26388888888889,12
