Period,Metric,Lower,Median,Upper,Min,Max,N
2031–2040,AnnualRainfall365_mm,1166.1560294872254,1437.9116305851712,1777.1136573297865,986.936254491332,2275.493114554398,160
2031–2040,DryDays365,120.96527777777777,151.06944444444443,175.50416666666666,84.0,206.83333333333331,160
2031–2040,LightRainDays365,62.86111111111111,74.00694444444444,87.01944444444445,45.625,110.0,160
2031–2040,ModerateRainDays365,74.01388888888889,91.625,108.04861111111111,62.86111111111111,134.0,160
2031–2040,HeavyRainDays365,36.5,47.826388888888886,63.08251366120218,27.375,82.77322404371584,160
2031–2040,VeryHeavyRainDays365,10.13888888888889,14.194444444444445,21.291666666666664,6.083333333333333,31.0,160
2031–2040,LongestDrySpell,10.0,15.0,25.0,8.0,37.0,160
2041–2050,AnnualRainfall365_mm,1186.4760742334881,1423.099997419969,1796.3861407390602,882.4550028801144,2185.067069742551,160
2041–2050,DryDays365,121.96666666666667,154.11111111111111,176.6194444444444,104.0,211.90277777777777,160
2041–2050,LightRainDays365,61.74583333333333,74.0,89.0,48.666666666666664,114.0,160
2041–2050,ModerateRainDays365,70.97222222222221,89.22222222222221,104.63333333333333,57.791666666666664,129.0,160
2041–2050,HeavyRainDays365,37.412499999999994,48.666666666666664,63.08251366120218,24.333333333333332,77.0,160
2041–2050,VeryHeavyRainDays365,10.13888888888889,15.208333333333332,22.305555555555554,5.069444444444445,31.0,160
2041–2050,LongestDrySpell,11.0,16.0,24.0,8.0,40.0,160
2051–2060,AnnualRainfall365_mm,1185.4806731776853,1425.937439635578,1741.5167055425147,815.5226307548304,2172.8963846692327,160
2051–2060,DryDays365,134.74583333333334,158.6736111111111,180.5736111111111,94.29166666666666,215.95833333333331,160
2051–2060,LightRainDays365,58.80555555555555,70.97222222222221,85.16666666666666,48.666666666666664,98.3472222222222,160
2051–2060,ModerateRainDays365,71.98611111111111,87.19444444444444,102.43435792349725,54.75,129.0,160
2051–2060,HeavyRainDays365,36.5,47.65277777777778,62.18251366120217,21.291666666666664,79.08333333333333,160
2051–2060,VeryHeavyRainDays365,10.13888888888889,16.22222222222222,22.305555555555554,2.0277777777777777,29.402777777777775,160
2051–2060,LongestDrySpell,12.0,18.0,29.0,9.0,43.0,160
2061–2070,AnnualRainfall365_mm,1177.3035732337821,1502.6125255174657,1839.9505592014125,785.7601407890708,2044.1937595404788,160
2061–2070,DryDays365,130.0,155.63194444444446,181.5875,96.73497267759562,208.86111111111111,160
2061–2070,LightRainDays365,58.98387978142077,69.95833333333333,84.15277777777777,48.666666666666664,106.45833333333331,160
2061–2070,ModerateRainDays365,72.89861111111111,86.18055555555556,103.41666666666666,57.791666666666664,124.6584699453552,160
2061–2070,HeavyRainDays365,38.42638888888889,48.666666666666664,63.08251366120218,25.34722222222222,76.0,160
2061–2070,VeryHeavyRainDays365,10.91388888888889,16.22222222222222,24.0,7.097222222222221,31.430555555555554,160
2061–2070,LongestDrySpell,11.9,18.0,27.0,7.0,40.0,160
2071–2080,AnnualRainfall365_mm,1119.7653679218845,1480.166558256449,1743.171406354116,873.1299403200245,2263.653390148611,160
2071–2080,DryDays365,132.81944444444443,161.20833333333331,188.77281420765024,107.0,223.05555555555551,160
2071–2080,LightRainDays365,56.77777777777777,70.88911657559198,83.13888888888889,49.68055555555555,95.30555555555556,160
2071–2080,ModerateRainDays365,66.70724043715846,84.15277777777777,99.46249999999998,49.68055555555555,115.58333333333331,160
2071–2080,HeavyRainDays365,36.5,49.68055555555555,62.87499999999999,27.375,89.0,160
2071–2080,VeryHeavyRainDays365,11.152777777777777,17.118055555555557,22.94344262295082,8.11111111111111,33.0,160
2071–2080,LongestDrySpell,13.0,19.0,30.19999999999999,8.0,58.0,160
