Place,Year,Month,Date,Tempmax °C,Tempmin °C,Precipitation mm,Humidity %,Photoperiod hrs,
Appleton Woods,2025,January,1,12,2,7,86,,
Appleton Woods,2025,January,2,4,-3,0,85,,
Appleton Woods,2025,January,3,5,-4,0,86,,
Appleton Woods,2025,January,4,2,-3,1,93,,
Appleton Woods,2025,January,5,13,1,8,96,,
Appleton Woods,2025,January,6,12,2,4,88,,
Appleton Woods,2025,January,7,5,0,0,87,,
Appleton Woods,2025,January,8,2,-3,0,91,,
Appleton Woods,2025,January,9,4,-2,0,83,,
Appleton Woods,2025,January,10,1,-6,0,92,,
Appleton Woods,2025,January,11,-2,-6,0,95,,
Appleton Woods,2025,January,12,4,-3,0,95,,
Appleton Woods,2025,January,13,6,0,0,86,,
Appleton Woods,2025,January,14,10,3,0,91,,
Appleton Woods,2025,January,15,9,4,0,97,,
Appleton Woods,2025,January,16,7,2,0,96,,
Appleton Woods,2025,January,17,6,3,0,86,,
Appleton Woods,2025,January,18,2,1,0,90,,
Appleton Woods,2025,January,19,2,1,0,90,,
Appleton Woods,2025,January,20,6,1,0,94,,
Appleton Woods,2025,January,21,6,0,0,93,,
Appleton Woods,2025,January,22,5,-1,0,92,,
Appleton Woods,2025,January,23,7,-1,2,90,,
Appleton Woods,2025,January,24,10,5,3,74,,
Appleton Woods,2025,January,25,7,-1,1,83,,
Appleton Woods,2025,January,26,9,0,8,87,,
Appleton Woods,2025,January,27,8,4,10,83,,
Appleton Woods,2025,January,28,9,6,2,87,,
Appleton Woods,2025,January,29,7,2,0,88,,
Appleton Woods,2025,January,30,8,0,0,80,,
Appleton Woods,2025,January,31,8,2,3,91,,
Appleton Woods,2025,February,1,6,4,0,88,,
Appleton Woods,2025,February,2,8,0,0,81,,
Appleton Woods,2025,February,3,9,1,0,91,,
Appleton Woods,2025,February,4,10,5,0,87,,
Appleton Woods,2025,February,5,9,0,0,89,,
Appleton Woods,2025,February,6,6,-2,0,91,,
Appleton Woods,2025,February,7,4,1,1,86,,
Appleton Woods,2025,February,8,5,2,1,95,,
Appleton Woods,2025,February,9,6,1,4,94,,
