Place,Year,Month,Date,Rainfall [mm]
Cabilla,2025,January,1,14.3
Cabilla,2025,January,2,0.4
Cabilla,2025,January,3,0
Cabilla,2025,January,4,38.2
Cabilla,2025,January,5,14.3
Cabilla,2025,January,6,13.3
Cabilla,2025,January,7,0.9
Cabilla,2025,January,8,7.2
Cabilla,2025,January,9,2.5
Cabilla,2025,January,10,4.1
Cabilla,2025,January,11,2.4
Cabilla,2025,January,12,0
Cabilla,2025,January,13,0
Cabilla,2025,January,14,0
Cabilla,2025,January,15,0.1
Cabilla,2025,January,16,0.3
Cabilla,2025,January,17,0
Cabilla,2025,January,18,0
Cabilla,2025,January,19,0
Cabilla,2025,January,20,0.5
Cabilla,2025,January,21,0.1
Cabilla,2025,January,22,1.1
Cabilla,2025,January,23,30.4
Cabilla,2025,January,24,2.1
Cabilla,2025,January,25,5.8
Cabilla,2025,January,26,31.7
Cabilla,2025,January,27,9.6
Cabilla,2025,January,28,3.5
Cabilla,2025,January,29,0
Cabilla,2025,January,30,4.5
Cabilla,2025,January,31,0
Cabilla,2025,February,1,0
Cabilla,2025,February,2,3.3
Cabilla,2025,February,3,0
Cabilla,2025,February,4,2.4
Cabilla,2025,February,5,0
Cabilla,2025,February,6,0
Cabilla,2025,February,7,0
Cabilla,2025,February,8,0
Cabilla,2025,February,9,0.1
Cabilla,2025,February,10,0
Cabilla,2025,February,11,0
Cabilla,2025,February,12,0
Cabilla,2025,February,13,3.7
Cabilla,2025,February,14,5.7
Cabilla,2025,February,15,0.9
Cabilla,2025,February,16,0
Cabilla,2025,February,17,0
Cabilla,2025,February,18,6.8
Cabilla,2025,February,19,12.4
Cabilla,2025,February,20,19.1
Cabilla,2025,February,21,6.5
Cabilla,2025,February,22,0.3
Cabilla,2025,February,23,32.1
Cabilla,2025,February,24,1.2
Cabilla,2025,February,25,12.6
Cabilla,2025,February,26,0.7
Cabilla,2025,February,27,0
Cabilla,2025,February,28,0
Cabilla,2025,March,1,0
Cabilla,2025,March,2,0
Cabilla,2025,March,3,0
Cabilla,2025,March,4,0.2
Cabilla,2025,March,5,0
Cabilla,2025,March,6,2.5
Cabilla,2025,March,7,0.2
Cabilla,2025,March,8,1.9
