Place,Year,Month,Date,Rainfall [mm]
Little Knepp,2025,January,1,7
Little Knepp,2025,January,2,0
Little Knepp,2025,January,3,0
Little Knepp,2025,January,4,1
Little Knepp,2025,January,5,8
Little Knepp,2025,January,6,4
Little Knepp,2025,January,7,0
Little Knepp,2025,January,8,0
Little Knepp,2025,January,9,0
Little Knepp,2025,January,10,0
Little Knepp,2025,January,11,0
Little Knepp,2025,January,12,0
Little Knepp,2025,January,13,0
Little Knepp,2025,January,14,0
Little Knepp,2025,January,15,0
Little Knepp,2025,January,16,0
Little Knepp,2025,January,17,0
Little Knepp,2025,January,18,0
Little Knepp,2025,January,19,0
Little Knepp,2025,January,20,0
Little Knepp,2025,January,21,0
Little Knepp,2025,January,22,0
Little Knepp,2025,January,23,2
Little Knepp,2025,January,24,3
Little Knepp,2025,January,25,1
Little Knepp,2025,January,26,8
Little Knepp,2025,January,27,10
Little Knepp,2025,January,28,2
Little Knepp,2025,January,29,0
Little Knepp,2025,January,30,0
Little Knepp,2025,January,31,3
Little Knepp,2025,February,1,0
Little Knepp,2025,February,2,0
Little Knepp,2025,February,3,0
Little Knepp,2025,February,4,0
Little Knepp,2025,February,5,0
Little Knepp,2025,February,6,0
Little Knepp,2025,February,7,1
Little Knepp,2025,February,8,1
Little Knepp,2025,February,9,4
Little Knepp,2025,February,10,3
Little Knepp,2025,February,11,0
Little Knepp,2025,February,12,0
Little Knepp,2025,February,13,0
Little Knepp,2025,February,14,0
Little Knepp,2025,February,15,2
Little Knepp,2025,February,16,0
Little Knepp,2025,February,17,0
Little Knepp,2025,February,18,0
Little Knepp,2025,February,19,0
Little Knepp,2025,February,20,2
Little Knepp,2025,February,21,2
Little Knepp,2025,February,22,0
Little Knepp,2025,February,23,3
Little Knepp,2025,February,24,5
Little Knepp,2025,February,25,0
Little Knepp,2025,February,26,7
Little Knepp,2025,February,27,0
Little Knepp,2025,February,28,0
Little Knepp,2025,March,1,0
Little Knepp,2025,March,2,0
Little Knepp,2025,March,3,0
Little Knepp,2025,March,4,0
Little Knepp,2025,March,5,0
Little Knepp,2025,March,6,0
Little Knepp,2025,March,7,0
Little Knepp,2025,March,8,0
Little Knepp,2025,March,9,0
Little Knepp,2025,March,10,0
Little Knepp,2025,March,11,0
Little Knepp,2025,March,12,1
Little Knepp,2025,March,13,0
Little Knepp,2025,March,14,0
Little Knepp,2025,March,15,0
Little Knepp,2025,March,16,0
Little Knepp,2025,March,17,0
Little Knepp,2025,March,18,0
Little Knepp,2025,March,19,0
Little Knepp,2025,March,20,0
Little Knepp,2025,March,21,0
Little Knepp,2025,March,22,1
Little Knepp,2025,March,23,0
Little Knepp,2025,March,24,1
Little Knepp,2025,March,25,0
Little Knepp,2025,March,26,0
Little Knepp,2025,March,27,0
Little Knepp,2025,March,28,0
Little Knepp,2025,March,29,0
Little Knepp,2025,March,30,0
Little Knepp,2025,March,31,0
Little Knepp,2025,April,1,0
Little Knepp,2025,April,2,0
Little Knepp,2025,April,3,0
Little Knepp,2025,April,4,0
Little Knepp,2025,April,5,0
Little Knepp,2025,April,6,0
Little Knepp,2025,April,7,0
Little Knepp,2025,April,8,0
Little Knepp,2025,April,9,0
Little Knepp,2025,April,10,0
Little Knepp,2025,April,11,0
Little Knepp,2025,April,12,0
Little Knepp,2025,April,13,0
Little Knepp,2025,April,14,0
