DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
1,1.7,,Yes,,,3.34,,,Yes,
2,1.4,,Yes,,,3.3,,,Yes,
3,1.4,,Yes,,,3.54,,,Yes,
4,1.5,,Yes,,,0.94,Yes,,,
5,1.5,,Yes,,,7.96,,,,Yes
6,2.0,,Yes,Yes,,1.9,,Yes,,
7,2.0,,Yes,Yes,,0.66,Yes,,,
8,1.5,,Yes,,,0.96,Yes,,,
9,2.3,,,Yes,,0.88,Yes,,,
10,2.0,,Yes,Yes,,0.82,Yes,,,
11,1.3,,Yes,,,4.9,,,Yes,
12,1.7,,Yes,,,1,,Yes,,
13,1.8,,Yes,,,2.82,,,Yes,
14,1.4,,Yes,,,0.5,Yes,,,
15,1.1,,Yes,,,1.5,,Yes,,
16,2.0,,Yes,Yes,,0.26,Yes,,,
17,1.4,,Yes,,,0,Yes,,,
18,0.8,Yes,,,,0.6,Yes,,,
19,1.8,,Yes,,,2.16,,,Yes,
20,2.5,,,Yes,,3.96,,,Yes,
21,3.0,,,Yes,,2.36,,,Yes,
22,2.0,,Yes,Yes,,0.16,Yes,,,
23,2.6,,,Yes,,1.48,,Yes,,
24,1.6,,Yes,,,0.76,Yes,,,
25,2.0,,Yes,Yes,,0.92,Yes,,,
26,1.4,,Yes,,,2.38,,,Yes,
27,2.6,,,Yes,,6.42,,,,Yes
28,1.7,,Yes,,,1.6,,Yes,,
29,1.7,,Yes,,,3.44,,,Yes,
30,1.7,,Yes,,,2.24,,,Yes,
31,2.8,,,Yes,,0.84,Yes,,,
32,2.6,,,Yes,,1.42,,Yes,,
33,1.3,,Yes,,,0.48,Yes,,,
34,2.0,,Yes,Yes,,1.4,,Yes,,
35,1.5,,Yes,,,2.26,,,Yes,
36,1.8,,Yes,,,0.78,Yes,,,
37,1.8,,Yes,,,1.12,,Yes,,
38,2.5,,,Yes,,6.02,,,,Yes
39,1.3,,Yes,,,5.36,,,,Yes
40,1.4,,Yes,,,1.68,,Yes,,
41,1.7,,Yes,,,0.66,Yes,,,
42,1.6,,Yes,,,0,Yes,,,
43,1.1,,Yes,,,0.12,Yes,,,
44,0.6,Yes,,,,2.64,,,Yes,
45,1.4,,Yes,,,1.06,,Yes,,
46,0.9,Yes,,,,3.5,,,Yes,
47,1.0,,Yes,,,1.86,,Yes,,
48,0.6,Yes,,,,7.3,,,,Yes
49,1.5,,Yes,,,0.4,Yes,,,
50,1.5,,Yes,,,1.26,,Yes,,
51,1.7,,Yes,,,3.02,,,Yes,
52,1.0,,Yes,,,2.38,,,Yes,
53,1.0,,Yes,,,2.94,,,Yes,
54,1.0,,Yes,,,1.36,,Yes,,
55,1.2,,Yes,,,1.12,,Yes,,
56,1.6,,Yes,,,0,Yes,,,
57,1.4,,Yes,,,1.48,,Yes,,
58,1.9,,Yes,,,0.06,Yes,,,
59,1.0,,Yes,,,2.9,,,Yes,
60,1.6,,Yes,,,2.4,,,Yes,
61,1.1,,Yes,,,2.26,,,Yes,
62,1.0,,Yes,,,1.22,,Yes,,
63,1.3,,Yes,,,0.04,Yes,,,
64,1.3,,Yes,,,0.14,Yes,,,
65,2.3,,,Yes,,1.42,,Yes,,
66,1.2,,Yes,,,0.3,Yes,,,
67,1.7,,Yes,,,2.3,,,Yes,
68,1.6,,Yes,,,2.94,,,Yes,
69,1.5,,Yes,,,1.48,,Yes,,
70,1.4,,Yes,,,3.44,,,Yes,
71,1.6,,Yes,,,3.62,,,Yes,
72,2.8,,,Yes,,1.6,,Yes,,
73,1.8,,Yes,,,0.72,Yes,,,
74,3.1,,,Yes,,2.02,,,Yes,
75,2.4,,,Yes,,4.28,,,Yes,
76,1.4,,Yes,,,1.98,,Yes,,
77,1.3,,Yes,,,0.66,Yes,,,
78,2.0,,Yes,Yes,,0.1,Yes,,,
79,1.7,,Yes,,,0.7,Yes,,,
80,1.7,,Yes,,,1.46,,Yes,,
81,1.0,,Yes,,,2.68,,,Yes,
82,1.5,,Yes,,,1.12,,Yes,,
83,1.9,,Yes,,,1.8,,Yes,,
84,1.7,,Yes,,,2.64,,,Yes,
85,2.5,,,Yes,,0.74,Yes,,,
86,1.7,,Yes,,,2.14,,,Yes,
87,1.9,,Yes,,,2.94,,,Yes,
88,1.6,,Yes,,,3.22,,,Yes,
89,0.6,Yes,,,,3.04,,,Yes,
90,1.3,,Yes,,,3.12,,,Yes,
91,1.6,,Yes,,,0.86,Yes,,,
92,1.2,,Yes,,,0.18,Yes,,,
93,1.2,,Yes,,,1.8,,Yes,,
94,1.6,,Yes,,,1.12,,Yes,,
95,2.1,,,Yes,,1.38,,Yes,,
96,1.2,,Yes,,,1.32,,Yes,,
97,1.8,,Yes,,,0.5,Yes,,,
98,1.0,,Yes,,,0.4,Yes,,,
99,1.3,,Yes,,,2.12,,,Yes,
100,2.2,,,Yes,,1.8,,Yes,,
101,1.2,,Yes,,,2.74,,,Yes,
102,0.9,Yes,,,,1.66,,Yes,,
103,1.3,,Yes,,,0.7,Yes,,,
104,1.3,,Yes,,,1.7,,Yes,,
105,0.7,Yes,,,,0.9,Yes,,,
106,1.0,,Yes,,,0.36,Yes,,,
107,1.2,,Yes,,,0.5,Yes,,,
108,1.7,,Yes,,,0,Yes,,,
109,2.4,,,Yes,,0.02,Yes,,,
110,1.5,,Yes,,,0.2,Yes,,,
111,1.7,,Yes,,,0.1,Yes,,,
112,1.5,,Yes,,,0.44,Yes,,,
113,1.8,,Yes,,,2.32,,,Yes,
114,2.0,,Yes,Yes,,1.42,,Yes,,
115,2.4,,,Yes,,0,Yes,,,
116,1.6,,Yes,,,0,Yes,,,
117,0.6,Yes,,,,4.58,,,Yes,
118,1.5,,Yes,,,6.14,,,,Yes
119,1.1,,Yes,,,0.18,Yes,,,
120,1.6,,Yes,,,0,Yes,,,
121,1.9,,Yes,,,0.24,Yes,,,
122,2.0,,Yes,Yes,,0.94,Yes,,,
123,1.8,,Yes,,,3.38,,,Yes,
124,1.3,,Yes,,,2.18,,,Yes,
125,1.8,,Yes,,,1.32,,Yes,,
126,1.0,,Yes,,,2.48,,,Yes,
127,1.0,,Yes,,,3.22,,,Yes,
128,0.7,Yes,,,,2.9,,,Yes,
129,1.7,,Yes,,,0.74,Yes,,,
130,1.8,,Yes,,,1.38,,Yes,,
131,2.1,,,Yes,,1.42,,Yes,,
132,1.8,,Yes,,,1.32,,Yes,,
133,1.1,,Yes,,,3.7,,,Yes,
134,3.4,,,Yes,,1.56,,Yes,,
135,0.8,Yes,,,,2.68,,,Yes,
136,1.6,,Yes,,,0.4,Yes,,,
137,2.2,,,Yes,,1.12,,Yes,,
138,1.0,,Yes,,,2.88,,,Yes,
139,1.5,,Yes,,,3.42,,,Yes,
140,2.2,,,Yes,,0.46,Yes,,,
141,2.8,,,Yes,,1.78,,Yes,,
