DOY,Baseline_rain_mm_avg,Baseline_dry,Baseline_light,Baseline_moderate,Baseline_heavy,Current_rain_mm_avg,Current_dry,Current_light,Current_moderate,Current_heavy
1,3.3,,Yes,,,7.5,,,Yes,
2,2.1,,Yes,,,5.3,,,Yes,
3,2.7,,Yes,,,5.1,,,Yes,
4,3.2,,Yes,,,5.1,,,Yes,
5,3.3,,Yes,,,1.2,,Yes,,
6,3.8,,Yes,,,7.9,,,Yes,
7,3.7,,Yes,,,3.9,,Yes,,
8,4.9,,Yes,,,5.7,,,Yes,
9,4.9,,Yes,,,4.3,,Yes,,
10,5.3,,,Yes,,2.3,,Yes,,
11,5.0,,,Yes,,4.9,,Yes,,
12,4.9,,Yes,,,2.8,,Yes,,
13,5.1,,,Yes,,9.3,,,Yes,
14,6.0,,,Yes,,6.0,,,Yes,
15,6.1,,,Yes,,6.0,,,Yes,
16,5.5,,,Yes,,7.3,,,Yes,
17,5.4,,,Yes,,0.8,Yes,,,
18,4.2,,Yes,,,0.8,Yes,,,
19,9.4,,,Yes,,1.5,,Yes,,
20,6.0,,,Yes,,5.2,,,Yes,
21,4.5,,Yes,,,6.2,,,Yes,
22,5.5,,,Yes,,1.4,,Yes,,
23,4.6,,Yes,,,0.9,Yes,,,
24,6.6,,,Yes,,1.2,,Yes,,
25,5.2,,,Yes,,2.9,,Yes,,
26,5.9,,,Yes,,3.0,,Yes,,
27,5.7,,,Yes,,3.6,,Yes,,
28,6.3,,,Yes,,4.6,,Yes,,
29,7.6,,,Yes,,3.5,,Yes,,
30,5.2,,,Yes,,4.0,,Yes,,
31,6.0,,,Yes,,2.8,,Yes,,
32,5.2,,,Yes,,5.1,,,Yes,
33,3.2,,Yes,,,2.9,,Yes,,
34,4.0,,Yes,,,3.7,,Yes,,
35,4.4,,Yes,,,0.9,Yes,,,
36,3.8,,Yes,,,3.9,,Yes,,
37,3.4,,Yes,,,6.4,,,Yes,
38,3.4,,Yes,,,5.1,,,Yes,
39,4.0,,Yes,,,5.6,,,Yes,
40,2.2,,Yes,,,3.8,,Yes,,
41,2.4,,Yes,,,3.9,,Yes,,
42,5.4,,,Yes,,2.1,,Yes,,
43,3.3,,Yes,,,9.2,,,Yes,
44,4.0,,Yes,,,4.6,,Yes,,
45,6.0,,,Yes,,6.5,,,Yes,
46,4.3,,Yes,,,17.3,,,,Yes
47,4.0,,Yes,,,5.0,,,Yes,
