Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
1,3.7,1.0,1.0,1.7,-575.7,-826.2,-302.0
2,3.8,1.0,2.0,1.4,-565.9,-832.3,-276.4
3,3.5,0.7,2.8,1.4,-556.6,-835.3,-248.0
4,3.5,0.8,3.6,1.5,-547.9,-834.3,-227.9
5,4.0,1.0,4.5,1.5,-540.7,-832.5,-208.1
6,4.3,1.0,5.6,2.0,-533.0,-832.0,-191.4
7,3.4,0.7,6.2,2.0,-522.3,-825.4,-174.4
8,4.0,1.0,7.2,1.5,-514.3,-819.4,-155.0
9,4.0,1.1,8.2,2.3,-506.0,-823.4,-128.4
10,4.0,1.2,9.4,2.0,-497.9,-830.1,-109.6
11,3.9,1.4,10.9,1.3,-490.9,-837.3,-87.8
12,3.4,1.2,12.0,1.7,-485.2,-862.1,-67.5
13,3.3,1.0,13.0,1.8,-479.8,-858.5,-54.6
14,3.3,1.0,14.0,1.4,-474.1,-855.8,-40.9
15,4.0,1.1,15.1,1.1,-470.5,-858.1,-38.3
16,4.1,1.1,16.1,2.0,-467.6,-872.1,-35.8
17,3.4,0.7,16.9,1.4,-461.4,-868.0,-15.8
18,3.0,0.6,17.5,0.8,-456.2,-871.0,-4.4
19,3.8,1.1,18.5,1.8,-451.8,-868.5,4.2
20,4.2,0.9,19.4,2.5,-447.4,-866.6,14.3
21,4.8,1.2,20.7,3.0,-442.6,-860.7,25.9
22,4.8,1.1,21.8,2.0,-438.8,-855.0,48.5
23,5.0,1.1,22.9,2.6,-434.4,-851.2,83.7
24,5.0,1.4,24.3,1.6,-431.3,-848.1,119.3
25,4.8,1.4,25.7,2.0,-430.0,-852.1,138.7
26,5.0,1.4,27.0,1.4,-429.7,-844.3,153.1
27,4.8,1.2,28.1,2.6,-429.1,-838.5,164.1
28,4.8,1.0,29.1,1.7,-430.4,-831.5,172.5
29,4.7,1.2,30.3,1.7,-430.0,-825.8,181.5
30,4.3,1.3,31.6,1.7,-429.8,-820.6,179.8
31,4.5,1.4,33.0,2.8,-425.7,-815.2,180.9
32,4.7,1.1,34.1,2.6,-423.6,-819.2,176.4
33,4.8,1.2,35.2,1.3,-421.5,-812.8,181.0
