Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
1,4.6,1.1,1.1,3.3,-512.8,-779.7,-290.6
2,4.6,1.2,2.3,2.1,-505.4,-777.7,-289.7
3,4.5,1.2,3.5,2.7,-502.9,-778.5,-282.4
4,4.7,1.2,4.7,3.2,-497.2,-775.8,-271.4
5,5.1,1.4,6.0,3.3,-493.3,-778.8,-285.8
6,5.3,1.3,7.3,3.8,-485.2,-776.3,-283.2
7,5.0,1.2,8.6,3.7,-477.5,-777.3,-281.3
8,5.2,1.3,9.9,4.9,-471.3,-765.8,-270.8
9,5.5,1.4,11.3,4.9,-465.7,-757.0,-259.1
10,5.1,1.5,12.7,5.3,-458.3,-746.7,-258.3
11,4.6,1.6,14.4,5.0,-451.2,-739.1,-244.4
12,4.3,1.3,15.7,4.9,-444.6,-735.3,-230.1
13,4.2,1.2,16.9,5.1,-437.9,-733.4,-216.3
14,4.5,1.3,18.2,6.0,-431.4,-734.2,-200.7
15,4.6,1.1,19.3,6.1,-427.3,-730.1,-209.6
16,4.7,1.0,20.3,5.5,-422.7,-737.7,-202.0
17,4.4,1.1,21.4,5.4,-416.0,-753.5,-186.5
18,4.6,1.2,22.6,4.2,-410.3,-747.6,-176.5
19,4.9,1.2,23.8,9.4,-399.8,-744.9,-169.8
20,5.2,1.2,25.0,6.0,-392.9,-755.9,-155.9
21,5.8,1.6,26.6,4.5,-389.7,-784.7,-158.8
22,5.8,1.4,28.0,5.5,-385.2,-804.8,-145.1
23,5.9,1.4,29.5,4.6,-380.4,-824.0,-127.9
24,5.9,1.6,31.0,6.6,-375.9,-832.2,-108.9
25,5.8,1.6,32.6,5.2,-372.5,-838.3,-87.1
26,5.5,1.4,34.0,5.9,-369.6,-843.5,-74.4
27,5.7,1.5,35.5,5.7,-370.5,-847.4,-66.5
28,5.5,1.3,36.8,6.3,-371.0,-833.6,-57.0
29,5.4,1.4,38.1,7.6,-366.2,-821.4,-39.7
30,5.3,1.4,39.5,5.2,-367.2,-814.5,-27.4
31,5.1,1.3,40.9,6.0,-362.8,-811.4,-12.7
32,5.5,1.4,42.2,5.2,-360.8,-801.7,1.8
33,5.7,1.6,43.8,3.2,-360.7,-791.1,22.8
34,5.7,1.7,45.6,4.0,-360.4,-788.0,41.8
35,5.7,1.5,47.0,4.4,-359.0,-777.6,63.9
36,5.9,1.7,48.7,3.8,-360.3,-761.9,98.9
37,6.1,1.7,50.5,3.4,-363.5,-765.8,112.4
38,6.0,1.7,52.2,3.4,-366.4,-760.7,119.1
39,5.8,1.8,54.0,4.0,-365.4,-756.6,138.8
40,5.2,1.4,55.3,2.2,-366.9,-753.7,139.3
41,4.8,1.1,56.5,2.4,-366.7,-741.9,133.1
42,4.6,0.9,57.4,5.4,-360.7,-706.0,132.4
43,4.8,1.0,58.5,3.3,-358.3,-682.2,140.2
44,4.2,0.9,59.4,4.0,-355.3,-670.6,164.1
45,3.9,0.8,60.2,6.0,-348.3,-660.3,187.9
46,3.8,0.9,61.1,4.3,-342.0,-658.2,191.0
47,3.7,0.8,61.8,4.0,-337.9,-653.8,198.4
48,4.0,0.8,62.6,3.1,-335.4,-630.7,199.7
49,4.1,0.9,63.5,4.6,-329.8,-629.2,211.6
50,4.5,1.0,64.4,3.1,-328.4,-631.6,228.2
51,4.8,1.2,65.5,3.3,-328.0,-621.9,236.7
52,5.1,1.2,66.8,2.2,-329.2,-614.5,235.0
53,5.3,1.2,68.0,3.4,-332.7,-607.5,225.8
54,5.1,1.1,69.1,4.1,-331.6,-620.3,217.3
55,4.9,1.2,70.3,4.1,-330.8,-594.3,211.0
56,5.1,1.4,71.6,2.0,-332.4,-587.6,207.2
57,5.2,1.5,73.1,2.8,-335.1,-581.2,198.3
58,5.4,1.5,74.6,3.3,-336.7,-586.0,186.9
59,5.6,1.5,76.2,3.6,-337.8,-592.6,147.6
60,5.9,1.7,77.9,2.3,-344.2,-594.1,131.7
61,5.8,1.7,79.5,4.1,-345.7,-586.0,121.0
62,5.4,1.5,81.0,4.9,-344.5,-576.3,108.7
63,5.5,1.3,82.4,2.6,-346.5,-576.4,86.2
64,5.6,1.5,83.9,3.4,-348.1,-578.4,69.8
65,6.1,1.7,85.6,3.3,-350.2,-566.6,57.2
66,6.3,1.9,87.4,4.1,-352.0,-572.3,42.6
67,5.7,1.3,88.8,4.3,-352.7,-586.5,37.9
68,6.2,1.8,90.6,2.9,-356.8,-600.1,31.8
69,6.5,1.9,92.5,3.4,-360.3,-615.4,27.9
70,6.4,1.7,94.3,3.7,-364.6,-623.0,22.3
71,6.2,1.6,95.9,4.8,-368.0,-638.5,-0.4
72,6.3,1.7,97.7,3.4,-373.7,-653.0,-3.4
73,6.4,1.9,99.5,4.7,-378.7,-663.6,-21.2
74,6.7,2.0,101.5,4.5,-384.6,-674.2,-29.7
75,6.5,2.0,103.4,4.1,-390.5,-687.7,-44.5
76,6.5,1.9,105.4,5.7,-393.8,-696.3,-39.5
77,6.4,2.0,107.3,3.5,-399.5,-705.1,-67.4
78,6.3,1.9,109.3,3.2,-404.1,-708.0,-84.5
79,6.5,1.9,111.2,3.6,-413.2,-713.0,-111.1
80,6.6,2.0,113.1,4.7,-417.4,-725.2,-122.6
81,6.7,2.0,115.1,2.6,-421.0,-723.4,-114.0
82,6.5,1.9,117.1,2.6,-425.3,-720.9,-120.2
83,6.7,2.0,119.2,3.2,-428.4,-725.8,-120.2
84,6.9,2.1,121.3,5.0,-431.8,-756.2,-136.5
85,7.2,2.3,123.6,2.8,-437.1,-767.7,-156.6
86,7.3,2.5,125.9,2.2,-444.4,-801.4,-171.2
87,6.7,1.9,127.9,3.8,-448.1,-810.0,-179.1
88,7.0,2.1,130.1,5.0,-452.4,-834.1,-191.4
89,7.6,2.7,132.8,2.3,-462.2,-862.6,-207.1
90,7.4,2.4,135.1,2.1,-469.5,-866.3,-217.1
91,7.0,2.3,137.4,3.3,-475.9,-876.2,-225.4
92,6.9,2.1,139.6,2.3,-481.6,-887.9,-226.9
93,6.1,1.5,141.1,2.1,-483.3,-895.9,-223.3
94,6.1,1.7,142.8,3.1,-485.1,-897.1,-242.9
95,6.4,1.9,144.7,2.7,-488.2,-894.9,-242.4
96,6.6,1.9,146.5,1.8,-491.4,-902.6,-241.8
97,7.0,2.3,148.7,1.5,-495.1,-911.8,-244.0
98,6.9,2.3,151.1,3.2,-497.1,-923.9,-243.6
99,6.7,2.0,153.1,1.9,-501.1,-918.4,-262.7
100,7.0,2.3,155.3,2.8,-504.1,-921.5,-266.0
