Recent_2021_2025_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg
1,10.6,5.82,5.82,3.34,-1090.775
2,8.6,3.86,9.68,3.3,-1085.05
3,9.1,4.06,13.74,3.54,-1078.85
4,6.6,2.22,15.96,0.94,-1068.9
5,8.9,3.94,19.9,7.96,-1055.3
6,8.7,3.72,23.62,1.9,-1048.075
7,6.0,2.08,25.7,0.66,-1038.425
8,5.2,1.86,27.56,0.96,-1026.3
9,5.0,1.38,28.94,0.88,-1023.25
10,6.8,2.7,31.64,0.82,-1011.1
11,7.0,3.4,35.04,4.9,-992.775
12,7.6,2.82,37.86,1,-983.5
13,8.2,3.3,41.16,2.82,-969.075
14,9.2,4.2,45.36,0.5,-964.2
15,6.0,1.42,46.78,1.5,-955.25
16,7.1,2.22,49,0.26,-950.375
17,5.6,1.7,50.7,0,-938.85
18,5.3,1.32,52.02,0.6,-925.325
19,6.8,2.4,54.42,2.16,-918.85
20,7.5,2.5,56.92,3.96,-911.6
21,6.3,2.38,59.3,2.36,-906.675
22,6.5,1.88,61.18,0.16,-902.5
23,6.8,2.1,63.28,1.48,-894.3
24,6.8,2.34,65.62,0.76,-894.075
25,7.0,2.2,67.82,0.92,-890.45
26,8.8,3.76,71.58,2.38,-892.05
27,9.4,4.44,76.02,6.42,-892.7
28,10.0,5.02,81.04,1.6,-897.05
29,10.6,5.64,86.68,3.44,-900.65
30,7.8,2.86,89.54,2.24,-897.85
31,8.6,3.92,93.46,0.84,-902.775
32,10.0,5,98.46,1.42,-910.475
33,11.4,6.38,104.84,0.48,-920.15
34,11.1,6.08,110.92,1.4,-927.125
35,9.7,4.72,115.64,2.26,-932.125
36,9.5,4.54,120.18,0.78,-936.95
37,9.1,4.06,124.24,1.12,-949.575
38,6.7,2.3,126.54,6.02,-946.225
39,7.7,3.64,130.18,5.36,-944.675
40,8.4,4.08,134.26,1.68,-948.225
41,7.2,2.68,136.94,0.66,-952.6
42,7.3,3.32,140.26,0,-954.925
43,7.0,2.5,142.76,0.12,-959.375
44,7.9,3.6,146.36,2.64,-958.975
45,9.3,4.32,150.68,1.06,-959.85
46,12.4,7.42,158.1,3.5,-963.75
47,11.3,6.5,164.6,1.86,-968.525
48,11.7,6.7,171.3,7.3,-968.075
49,11.2,6.18,177.48,0.4,-976.7
50,11.7,6.72,184.2,1.26,-979.5
51,13.3,8.32,192.52,3.02,-981.65
52,12.2,7.24,199.76,2.38,-986.85
53,11.9,6.86,206.62,2.94,-984.975
