Recent_2020_2024_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg
1,8.0,3.4,3.4,7.5,-572.8
2,7.1,2.7,6.2,5.3,-573.1
3,7.0,2.5,8.7,5.1,-575.7
4,6.0,1.6,10.3,5.1,-570.3
5,6.5,2.0,12.3,1.2,-574.8
6,5.2,1.7,13.9,7.9,-568.0
7,4.8,1.8,15.7,3.9,-565.6
8,4.0,1.8,17.5,5.7,-556.0
9,4.5,1.8,19.3,4.3,-548.4
10,4.5,1.8,21.1,2.3,-548.4
11,5.6,2.4,23.4,4.9,-542.8
12,5.5,1.9,25.3,2.8,-539.4
13,6.2,1.8,27.1,9.3,-521.1
14,6.5,2.5,29.6,6.0,-514.6
15,5.8,1.4,31.0,6.0,-504.9
16,5.2,1.5,32.5,7.3,-498.9
17,3.8,0.4,33.0,0.8,-490.5
18,3.6,0.2,33.2,0.8,-476.0
19,5.3,0.7,34.0,1.5,-469.9
20,5.9,1.0,34.9,5.2,-472.0
21,6.3,1.7,36.7,6.2,-467.8
22,5.5,0.7,37.4,1.4,-469.1
23,6.0,1.1,38.5,0.9,-468.1
24,5.4,1.0,39.4,1.2,-472.4
25,5.5,1.5,41.0,2.9,-473.4
26,5.2,1.2,42.2,3.0,-480.4
27,5.3,0.9,43.1,3.6,-475.7
28,6.6,1.6,44.7,4.6,-475.4
29,8.5,3.0,47.7,3.5,-476.8
30,6.8,2.1,49.8,4.0,-481.2
31,6.9,2.5,52.3,2.8,-486.5
32,6.7,2.4,54.6,5.1,-490.5
33,8.2,3.2,57.8,2.9,-504.4
34,8.7,3.8,61.6,3.7,-512.9
35,7.8,2.7,64.2,0.9,-518.9
36,7.1,1.9,66.1,3.9,-530.4
37,7.1,1.8,67.9,6.4,-540.8
38,7.2,2.2,70.1,5.1,-548.6
39,6.3,2.1,72.2,5.6,-550.7
40,6.7,2.9,75.1,3.8,-556.9
41,4.5,1.3,76.4,3.9,-559.0
42,4.8,1.1,77.5,2.1,-563.6
43,4.7,0.8,78.2,9.2,-555.4
44,6.4,2.0,80.2,4.6,-555.7
45,7.2,2.5,82.7,6.5,-556.8
46,8.2,3.6,86.3,17.3,-549.2
47,9.4,4.1,90.5,5.0,-554.9
48,9.6,3.8,94.3,9.5,-562.7
49,9.2,3.7,97.9,5.1,-568.2
50,7.8,2.5,100.5,2.1,-569.0
51,8.4,3.4,103.9,13.1,-565.9
52,8.6,3.2,107.1,5.9,-561.8
53,7.8,3.1,110.1,8.3,-556.5
54,6.1,1.8,112.0,4.3,-553.6
55,6.0,1.8,113.7,3.4,-550.1
56,6.7,1.8,115.5,6.0,-548.2
57,6.3,1.2,116.7,3.0,-554.9
58,5.8,1.3,117.9,3.2,-552.6
59,6.9,1.8,119.8,9.2,-548.8
60,6.6,1.4,121.2,9.3,-544.0
61,6.4,1.3,122.5,5.1,-496.1
62,5.5,1.1,123.6,3.2,-495.4
63,5.7,0.9,124.5,1.6,-496.1
64,5.3,0.8,125.3,7.0,-491.2
65,5.0,0.5,125.8,0.8,-493.5
66,4.5,0.3,126.1,2.8,-487.9
67,6.3,2.1,128.2,5.5,-492.0
68,6.9,2.4,130.6,6.1,-492.8
69,5.8,1.6,132.2,9.5,-490.9
70,7.8,3.1,135.3,4.2,-496.9
71,7.4,2.9,138.2,7.8,-497.3
72,8.8,3.3,141.5,4.3,-502.4
