Date,Year,Month,Day,Baseline_MaxTemp,≥25°C,≥28°C,≥30°C,≥32°C,Current_MaxTemp,≥25°C,≥28°C,≥30°C,≥32°C
1961-01-01,1961,1,1,8.5,,,,,,,,,
1961-01-02,1961,1,2,8.2,,,,,,,,,
1961-01-03,1961,1,3,5.9,,,,,,,,,
1961-01-04,1961,1,4,6.8,,,,,,,,,
1961-01-05,1961,1,5,7.6,,,,,,,,,
1961-01-06,1961,1,6,7.0,,,,,,,,,
1961-01-07,1961,1,7,9.2,,,,,,,,,
1961-01-08,1961,1,8,7.1,,,,,,,,,
1961-01-09,1961,1,9,8.2,,,,,,,,,
1961-01-10,1961,1,10,8.7,,,,,,,,,
1961-01-11,1961,1,11,6.3,,,,,,,,,
1961-01-12,1961,1,12,9.0,,,,,,,,,
1961-01-13,1961,1,13,9.1,,,,,,,,,
1961-01-14,1961,1,14,6.0,,,,,,,,,
1961-01-15,1961,1,15,4.8,,,,,,,,,
1961-01-16,1961,1,16,6.1,,,,,,,,,
1961-01-17,1961,1,17,8.2,,,,,,,,,
1961-01-18,1961,1,18,9.0,,,,,,,,,
1961-01-19,1961,1,19,7.5,,,,,,,,,
1961-01-20,1961,1,20,8.5,,,,,,,,,
1961-01-21,1961,1,21,9.0,,,,,,,,,
1961-01-22,1961,1,22,8.2,,,,,,,,,
1961-01-23,1961,1,23,6.6,,,,,,,,,
1961-01-24,1961,1,24,4.4,,,,,,,,,
1961-01-25,1961,1,25,2.4,,,,,,,,,
1961-01-26,1961,1,26,9.2,,,,,,,,,
1961-01-27,1961,1,27,10.9,,,,,,,,,
1961-01-28,1961,1,28,9.7,,,,,,,,,
1961-01-29,1961,1,29,10.7,,,,,,,,,
1961-01-30,1961,1,30,8.7,,,,,,,,,
1961-01-31,1961,1,31,9.0,,,,,,,,,
1961-02-01,1961,2,1,8.4,,,,,,,,,
1961-02-02,1961,2,2,8.4,,,,,,,,,
1961-02-03,1961,2,3,9.4,,,,,,,,,
1961-02-04,1961,2,4,10.2,,,,,,,,,
1961-02-05,1961,2,5,11.6,,,,,,,,,
1961-02-06,1961,2,6,8.4,,,,,,,,,
1961-02-07,1961,2,7,9.9,,,,,,,,,
1961-02-08,1961,2,8,11.0,,,,,,,,,
1961-02-09,1961,2,9,11.2,,,,,,,,,
1961-02-10,1961,2,10,10.5,,,,,,,,,
1961-02-11,1961,2,11,10.4,,,,,,,,,
1961-02-12,1961,2,12,10.5,,,,,,,,,
1961-02-13,1961,2,13,10.7,,,,,,,,,
1961-02-14,1961,2,14,11.3,,,,,,,,,
1961-02-15,1961,2,15,10.1,,,,,,,,,
1961-02-16,1961,2,16,10.5,,,,,,,,,
1961-02-17,1961,2,17,9.9,,,,,,,,,
1961-02-18,1961,2,18,12.6,,,,,,,,,
1961-02-19,1961,2,19,10.3,,,,,,,,,
1961-02-20,1961,2,20,8.6,,,,,,,,,
1961-02-21,1961,2,21,8.0,,,,,,,,,
1961-02-22,1961,2,22,7.7,,,,,,,,,
1961-02-23,1961,2,23,9.8,,,,,,,,,
1961-02-24,1961,2,24,11.2,,,,,,,,,
1961-02-25,1961,2,25,11.3,,,,,,,,,
1961-02-26,1961,2,26,11.8,,,,,,,,,
1961-02-27,1961,2,27,8.2,,,,,,,,,
1961-02-28,1961,2,28,11.0,,,,,,,,,
1961-03-01,1961,3,1,12.9,,,,,,,,,
1961-03-02,1961,3,2,12.5,,,,,,,,,
1961-03-03,1961,3,3,11.7,,,,,,,,,
1961-03-04,1961,3,4,13.8,,,,,,,,,
1961-03-05,1961,3,5,14.7,,,,,,,,,
1961-03-06,1961,3,6,13.1,,,,,,,,,
1961-03-07,1961,3,7,11.9,,,,,,,,,
1961-03-08,1961,3,8,11.7,,,,,,,,,
1961-03-09,1961,3,9,13.1,,,,,,,,,
1961-03-10,1961,3,10,13.3,,,,,,,,,
1961-03-11,1961,3,11,13.0,,,,,,,,,
1961-03-12,1961,3,12,12.1,,,,,,,,,
1961-03-13,1961,3,13,12.8,,,,,,,,,
1961-03-14,1961,3,14,13.2,,,,,,,,,
1961-03-15,1961,3,15,12.6,,,,,,,,,
1961-03-16,1961,3,16,15.8,,,,,,,,,
1961-03-17,1961,3,17,10.9,,,,,,,,,
1961-03-18,1961,3,18,9.9,,,,,,,,,
1961-03-19,1961,3,19,8.6,,,,,,,,,
1961-03-20,1961,3,20,9.9,,,,,,,,,
1961-03-21,1961,3,21,10.4,,,,,,,,,
1961-03-22,1961,3,22,11.1,,,,,,,,,
1961-03-23,1961,3,23,11.6,,,,,,,,,
1961-03-24,1961,3,24,10.2,,,,,,,,,
1961-03-25,1961,3,25,10.3,,,,,,,,,
1961-03-26,1961,3,26,13.4,,,,,,,,,
1961-03-27,1961,3,27,10.5,,,,,,,,,
1961-03-28,1961,3,28,11.4,,,,,,,,,
1961-03-29,1961,3,29,11.2,,,,,,,,,
1961-03-30,1961,3,30,13.5,,,,,,,,,
1961-03-31,1961,3,31,13.4,,,,,,,,,
1961-04-01,1961,4,1,11.7,,,,,,,,,
1961-04-02,1961,4,2,13.2,,,,,,,,,
1961-04-03,1961,4,3,11.0,,,,,,,,,
1961-04-04,1961,4,4,11.7,,,,,,,,,
1961-04-05,1961,4,5,13.5,,,,,,,,,
1961-04-06,1961,4,6,14.1,,,,,,,,,
1961-04-07,1961,4,7,12.7,,,,,,,,,
1961-04-08,1961,4,8,11.4,,,,,,,,,
1961-04-09,1961,4,9,12.6,,,,,,,,,
1961-04-10,1961,4,10,14.3,,,,,,,,,
1961-04-11,1961,4,11,14.0,,,,,,,,,
1961-04-12,1961,4,12,12.2,,,,,,,,,
1961-04-13,1961,4,13,13.3,,,,,,,,,
1961-04-14,1961,4,14,13.5,,,,,,,,,
1961-04-15,1961,4,15,14.7,,,,,,,,,
1961-04-16,1961,4,16,14.9,,,,,,,,,
1961-04-17,1961,4,17,16.8,,,,,,,,,
1961-04-18,1961,4,18,16.8,,,,,,,,,
1961-04-19,1961,4,19,13.0,,,,,,,,,
1961-04-20,1961,4,20,12.0,,,,,,,,,
1961-04-21,1961,4,21,13.1,,,,,,,,,
1961-04-22,1961,4,22,12.2,,,,,,,,,
1961-04-23,1961,4,23,13.2,,,,,,,,,
1961-04-24,1961,4,24,13.1,,,,,,,,,
1961-04-25,1961,4,25,12.6,,,,,,,,,
1961-04-26,1961,4,26,13.1,,,,,,,,,
1961-04-27,1961,4,27,13.6,,,,,,,,,
1961-04-28,1961,4,28,14.5,,,,,,,,,
1961-04-29,1961,4,29,15.5,,,,,,,,,
1961-04-30,1961,4,30,14.5,,,,,,,,,
1961-05-01,1961,5,1,12.9,,,,,,,,,
1961-05-02,1961,5,2,13.6,,,,,,,,,
1961-05-03,1961,5,3,13.0,,,,,,,,,
1961-05-04,1961,5,4,13.1,,,,,,,,,
1961-05-05,1961,5,5,15.4,,,,,,,,,
1961-05-06,1961,5,6,13.9,,,,,,,,,
1961-05-07,1961,5,7,14.0,,,,,,,,,
1961-05-08,1961,5,8,14.2,,,,,,,,,
1961-05-09,1961,5,9,15.0,,,,,,,,,
1961-05-10,1961,5,10,17.1,,,,,,,,,
1961-05-11,1961,5,11,19.1,,,,,,,,,
1961-05-12,1961,5,12,19.2,,,,,,,,,
1961-05-13,1961,5,13,20.6,,,,,,,,,
1961-05-14,1961,5,14,17.2,,,,,,,,,
1961-05-15,1961,5,15,16.1,,,,,,,,,
1961-05-16,1961,5,16,15.6,,,,,,,,,
1961-05-17,1961,5,17,16.7,,,,,,,,,
1961-05-18,1961,5,18,17.4,,,,,,,,,
1961-05-19,1961,5,19,16.4,,,,,,,,,
1961-05-20,1961,5,20,16.1,,,,,,,,,
1961-05-21,1961,5,21,15.5,,,,,,,,,
1961-05-22,1961,5,22,16.0,,,,,,,,,
1961-05-23,1961,5,23,17.0,,,,,,,,,
1961-05-24,1961,5,24,17.7,,,,,,,,,
1961-05-25,1961,5,25,18.5,,,,,,,,,
1961-05-26,1961,5,26,12.3,,,,,,,,,
1961-05-27,1961,5,27,13.9,,,,,,,,,
1961-05-28,1961,5,28,14.6,,,,,,,,,
1961-05-29,1961,5,29,14.2,,,,,,,,,
1961-05-30,1961,5,30,16.1,,,,,,,,,
1961-05-31,1961,5,31,17.1,,,,,,,,,
1961-06-01,1961,6,1,15.5,,,,,,,,,
1961-06-02,1961,6,2,15.6,,,,,,,,,
1961-06-03,1961,6,3,17.7,,,,,,,,,
1961-06-04,1961,6,4,18.7,,,,,,,,,
1961-06-05,1961,6,5,17.3,,,,,,,,,
1961-06-06,1961,6,6,17.3,,,,,,,,,
1961-06-07,1961,6,7,14.6,,,,,,,,,
1961-06-08,1961,6,8,15.8,,,,,,,,,
1961-06-09,1961,6,9,16.0,,,,,,,,,
1961-06-10,1961,6,10,14.9,,,,,,,,,
1961-06-11,1961,6,11,16.0,,,,,,,,,
1961-06-12,1961,6,12,14.4,,,,,,,,,
1961-06-13,1961,6,13,16.9,,,,,,,,,
1961-06-14,1961,6,14,17.8,,,,,,,,,
1961-06-15,1961,6,15,18.2,,,,,,,,,
1961-06-16,1961,6,16,18.4,,,,,,,,,
1961-06-17,1961,6,17,16.3,,,,,,,,,
1961-06-18,1961,6,18,16.8,,,,,,,,,
1961-06-19,1961,6,19,16.9,,,,,,,,,
1961-06-20,1961,6,20,18.5,,,,,,,,,
1961-06-21,1961,6,21,18.3,,,,,,,,,
1961-06-22,1961,6,22,18.8,,,,,,,,,
1961-06-23,1961,6,23,20.6,,,,,,,,,
1961-06-24,1961,6,24,21.2,,,,,,,,,
1961-06-25,1961,6,25,20.0,,,,,,,,,
1961-06-26,1961,6,26,18.1,,,,,,,,,
1961-06-27,1961,6,27,16.8,,,,,,,,,
1961-06-28,1961,6,28,18.6,,,,,,,,,
1961-06-29,1961,6,29,21.1,,,,,,,,,
1961-06-30,1961,6,30,23.3,,,,,,,,,
1961-07-01,1961,7,1,24.7,,,,,,,,,
1961-07-02,1961,7,2,18.7,,,,,,,,,
1961-07-03,1961,7,3,19.1,,,,,,,,,
1961-07-04,1961,7,4,16.4,,,,,,,,,
1961-07-05,1961,7,5,16.9,,,,,,,,,
1961-07-06,1961,7,6,18.8,,,,,,,,,
1961-07-07,1961,7,7,20.4,,,,,,,,,
1961-07-08,1961,7,8,17.9,,,,,,,,,
1961-07-09,1961,7,9,19.5,,,,,,,,,
1961-07-10,1961,7,10,19.6,,,,,,,,,
1961-07-11,1961,7,11,20.0,,,,,,,,,
1961-07-12,1961,7,12,17.1,,,,,,,,,
1961-07-13,1961,7,13,16.1,,,,,,,,,
1961-07-14,1961,7,14,15.4,,,,,,,,,
1961-07-15,1961,7,15,16.5,,,,,,,,,
1961-07-16,1961,7,16,15.4,,,,,,,,,
1961-07-17,1961,7,17,16.6,,,,,,,,,
1961-07-18,1961,7,18,18.8,,,,,,,,,
1961-07-19,1961,7,19,18.6,,,,,,,,,
1961-07-20,1961,7,20,18.7,,,,,,,,,
1961-07-21,1961,7,21,20.1,,,,,,,,,
1961-07-22,1961,7,22,18.9,,,,,,,,,
1961-07-23,1961,7,23,18.4,,,,,,,,,
1961-07-24,1961,7,24,19.3,,,,,,,,,
1961-07-25,1961,7,25,20.3,,,,,,,,,
1961-07-26,1961,7,26,18.9,,,,,,,,,
1961-07-27,1961,7,27,17.7,,,,,,,,,
1961-07-28,1961,7,28,16.6,,,,,,,,,
1961-07-29,1961,7,29,17.6,,,,,,,,,
1961-07-30,1961,7,30,18.0,,,,,,,,,
1961-07-31,1961,7,31,18.6,,,,,,,,,
1961-08-01,1961,8,1,19.9,,,,,,,,,
1961-08-02,1961,8,2,18.6,,,,,,,,,
1961-08-03,1961,8,3,18.4,,,,,,,,,
1961-08-04,1961,8,4,18.2,,,,,,,,,
1961-08-05,1961,8,5,18.9,,,,,,,,,
1961-08-06,1961,8,6,18.6,,,,,,,,,
1961-08-07,1961,8,7,17.5,,,,,,,,,
1961-08-08,1961,8,8,17.7,,,,,,,,,
1961-08-09,1961,8,9,17.5,,,,,,,,,
1961-08-10,1961,8,10,15.5,,,,,,,,,
1961-08-11,1961,8,11,17.3,,,,,,,,,
1961-08-12,1961,8,12,18.3,,,,,,,,,
1961-08-13,1961,8,13,16.6,,,,,,,,,
1961-08-14,1961,8,14,16.5,,,,,,,,,
1961-08-15,1961,8,15,17.2,,,,,,,,,
1961-08-16,1961,8,16,17.7,,,,,,,,,
1961-08-17,1961,8,17,18.5,,,,,,,,,
1961-08-18,1961,8,18,16.5,,,,,,,,,
1961-08-19,1961,8,19,16.3,,,,,,,,,
1961-08-20,1961,8,20,17.3,,,,,,,,,
1961-08-21,1961,8,21,18.2,,,,,,,,,
1961-08-22,1961,8,22,16.4,,,,,,,,,
1961-08-23,1961,8,23,16.8,,,,,,,,,
1961-08-24,1961,8,24,18.5,,,,,,,,,
1961-08-25,1961,8,25,18.5,,,,,,,,,
1961-08-26,1961,8,26,19.6,,,,,,,,,
1961-08-27,1961,8,27,19.8,,,,,,,,,
1961-08-28,1961,8,28,21.3,,,,,,,,,
1961-08-29,1961,8,29,24.4,,,,,,,,,
1961-08-30,1961,8,30,20.2,,,,,,,,,
1961-08-31,1961,8,31,22.7,,,,,,,,,
1961-09-01,1961,9,1,23.3,,,,,,,,,
1961-09-02,1961,9,2,24.4,,,,,,,,,
1961-09-03,1961,9,3,19.3,,,,,,,,,
1961-09-04,1961,9,4,18.4,,,,,,,,,
1961-09-05,1961,9,5,18.0,,,,,,,,,
1961-09-06,1961,9,6,15.2,,,,,,,,,
1961-09-07,1961,9,7,16.5,,,,,,,,,
1961-09-08,1961,9,8,16.7,,,,,,,,,
